split,duration,era,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,key_12,key_13,key_14,key_15,key_16,key_17,key_18,key_19,key_20,key_21,key_22,key_23,key_24,key_25,key_26,key_27,key_28,key_29,key_30,key_31,key_32,key_33,key_34,key_35,key_36,key_37,key_38,key_39,key_40,key_41,key_42,key_43,key_44,key_45,key_46,key_47,key_48,key_49,key_50,key_51,key_52,key_53,key_54,key_55,key_56,key_57,key_58,key_59,key_60,key_61,key_62,key_63,key_64,key_65,key_66,key_67,key_68,key_69,key_70,key_71,key_72,key_73,key_74,key_75,key_76,key_77,key_78,key_79,key_80,key_81,key_82,key_83,key_84,key_85,key_86,key_87,pitch_range,tempo,avg_note_duration,avg_velocity,velocity_range
train,464.649432608,modern,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,6.0,8.0,10.0,6.0,13.0,8.0,8.0,11.0,12.0,29.0,27.0,28.0,17.0,15.0,44.0,25.0,36.0,44.0,43.0,45.0,45.0,60.0,43.0,73.0,69.0,60.0,83.0,89.0,93.0,103.0,89.0,111.0,81.0,91.0,75.0,108.0,98.0,67.0,83.0,78.0,104.0,75.0,54.0,100.0,85.0,75.0,66.0,74.0,55.0,65.0,66.0,51.0,44.0,44.0,45.0,62.0,32.0,40.0,25.0,34.0,11.0,27.0,7.0,11.0,7.0,15.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,195.59383799900638,0.3716278938665065,67.90348767288033,112.0
train,872.640588096,post-romantic,0.0,2.0,1.0,3.0,1.0,6.0,17.0,3.0,15.0,9.0,19.0,20.0,17.0,60.0,13.0,54.0,46.0,28.0,105.0,44.0,91.0,76.0,53.0,94.0,53.0,197.0,76.0,128.0,114.0,82.0,199.0,81.0,209.0,134.0,95.0,183.0,77.0,279.0,133.0,214.0,188.0,125.0,224.0,96.0,293.0,133.0,157.0,214.0,149.0,233.0,100.0,176.0,111.0,165.0,144.0,51.0,170.0,42.0,98.0,71.0,88.0,72.0,28.0,43.0,15.0,22.0,19.0,4.0,15.0,6.0,8.0,7.0,4.0,3.0,3.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,81.0,202.21236007154755,0.29126738310111855,62.95408486383787,102.0
validation,397.857508125,romantic,0.0,0.0,0.0,4.0,11.0,1.0,0.0,4.0,1.0,2.0,10.0,2.0,2.0,2.0,3.0,6.0,28.0,11.0,6.0,16.0,4.0,15.0,50.0,15.0,14.0,40.0,15.0,16.0,76.0,29.0,17.0,55.0,195.0,17.0,66.0,94.0,46.0,82.0,234.0,36.0,44.0,122.0,72.0,82.0,260.0,79.0,104.0,101.0,100.0,104.0,121.0,120.0,64.0,82.0,51.0,79.0,78.0,80.0,71.0,66.0,71.0,76.0,69.0,86.0,71.0,101.0,44.0,68.0,33.0,29.0,39.0,64.0,34.0,26.0,22.0,14.0,8.0,24.0,1.0,10.0,1.0,1.0,1.0,1.0,13.0,0.0,7.0,0.0,83.0,204.54545454545385,0.1302604944223272,65.00821099776064,119.0
validation,400.557825938,romantic,0.0,0.0,2.0,0.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,3.0,1.0,10.0,1.0,17.0,4.0,0.0,20.0,0.0,20.0,1.0,18.0,15.0,2.0,63.0,6.0,58.0,17.0,18.0,46.0,16.0,71.0,14.0,78.0,75.0,9.0,81.0,10.0,93.0,61.0,30.0,118.0,33.0,144.0,36.0,101.0,107.0,13.0,156.0,34.0,175.0,84.0,45.0,123.0,24.0,84.0,12.0,68.0,41.0,5.0,34.0,2.0,22.0,3.0,5.0,11.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,199.02101929167657,0.37922540976352326,60.3428207306712,108.0
train,563.904350625,romantic,0.0,0.0,1.0,1.0,2.0,4.0,21.0,2.0,3.0,17.0,0.0,22.0,10.0,37.0,26.0,3.0,21.0,7.0,67.0,36.0,30.0,60.0,4.0,53.0,28.0,125.0,131.0,34.0,55.0,34.0,96.0,69.0,112.0,218.0,37.0,176.0,120.0,191.0,234.0,83.0,203.0,83.0,254.0,176.0,137.0,211.0,29.0,176.0,81.0,223.0,219.0,52.0,145.0,62.0,220.0,114.0,61.0,151.0,22.0,159.0,58.0,53.0,131.0,7.0,47.0,11.0,41.0,23.0,8.0,21.0,0.0,6.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,197.02832709780685,0.2528193188176048,70.21428571428571,110.0
validation,167.085837188,romantic,5.0,1.0,6.0,6.0,32.0,0.0,6.0,0.0,2.0,4.0,6.0,11.0,15.0,12.0,25.0,18.0,59.0,1.0,13.0,13.0,12.0,31.0,16.0,65.0,64.0,43.0,26.0,16.0,63.0,29.0,79.0,113.0,27.0,64.0,39.0,137.0,90.0,28.0,83.0,70.0,157.0,41.0,145.0,149.0,28.0,112.0,36.0,147.0,87.0,24.0,56.0,33.0,114.0,21.0,44.0,65.0,4.0,35.0,11.0,44.0,48.0,6.0,4.0,0.0,39.0,2.0,8.0,28.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,214.3654633420164,0.1105523080209807,64.96711456859971,110.0
train,102.007109531,romantic,0.0,0.0,0.0,0.0,13.0,0.0,8.0,0.0,3.0,2.0,1.0,2.0,0.0,8.0,0.0,5.0,49.0,4.0,5.0,1.0,16.0,23.0,15.0,64.0,2.0,23.0,7.0,15.0,84.0,11.0,13.0,6.0,52.0,58.0,14.0,56.0,22.0,35.0,27.0,48.0,95.0,14.0,24.0,40.0,93.0,74.0,38.0,81.0,67.0,68.0,44.0,97.0,123.0,34.0,46.0,69.0,100.0,60.0,32.0,50.0,40.0,40.0,19.0,30.0,30.0,12.0,13.0,12.0,17.0,13.0,6.0,8.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,226.8426941150151,0.07998223514211879,71.27314181486548,109.0
train,512.164284844,romantic,1.0,2.0,16.0,15.0,14.0,12.0,25.0,30.0,24.0,98.0,22.0,39.0,46.0,31.0,75.0,45.0,63.0,60.0,40.0,61.0,37.0,221.0,64.0,30.0,89.0,34.0,93.0,39.0,111.0,114.0,87.0,148.0,56.0,222.0,134.0,69.0,123.0,127.0,268.0,92.0,155.0,184.0,118.0,197.0,93.0,308.0,154.0,114.0,168.0,147.0,263.0,87.0,175.0,175.0,116.0,149.0,79.0,169.0,80.0,68.0,73.0,80.0,145.0,37.0,71.0,49.0,44.0,30.0,23.0,16.0,12.0,12.0,7.0,11.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,190.34482758620246,0.17501819470093352,73.16528162511543,121.0
train,476.806414219,romantic,1.0,0.0,15.0,10.0,9.0,10.0,14.0,28.0,20.0,85.0,22.0,23.0,40.0,16.0,77.0,35.0,42.0,59.0,30.0,53.0,31.0,177.0,56.0,31.0,79.0,28.0,82.0,43.0,102.0,92.0,69.0,143.0,59.0,227.0,142.0,52.0,117.0,118.0,276.0,99.0,172.0,209.0,114.0,186.0,108.0,288.0,155.0,76.0,168.0,128.0,252.0,85.0,168.0,179.0,104.0,143.0,88.0,160.0,80.0,54.0,70.0,58.0,149.0,38.0,63.0,44.0,37.0,37.0,17.0,19.0,10.0,13.0,8.0,12.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,210.41095890410958,0.19436754249754806,70.1299444262831,124.0
train,486.857152031,romantic,0.0,0.0,16.0,10.0,18.0,11.0,18.0,27.0,20.0,82.0,23.0,35.0,42.0,30.0,82.0,39.0,53.0,58.0,31.0,68.0,25.0,193.0,61.0,28.0,79.0,28.0,92.0,47.0,100.0,104.0,74.0,157.0,61.0,221.0,145.0,75.0,115.0,129.0,251.0,105.0,171.0,209.0,116.0,195.0,90.0,309.0,162.0,82.0,174.0,133.0,244.0,80.0,174.0,192.0,112.0,152.0,80.0,160.0,84.0,58.0,74.0,75.0,143.0,38.0,64.0,42.0,41.0,32.0,14.0,19.0,8.0,10.0,6.0,10.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,208.67202535944483,0.1826253757316883,74.65622528080999,116.0
